epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4286,0.66584,0.5303,1.18656,0.01156,0.87996,0.86848,0.92159,0.68276,0.81757,0.5931,1.24884,0.01147,0.000187478,0.000187478,0.000187478
2,53.2198,0.7001,0.54846,1.20015,0.01387,0.8746,0.86087,0.91185,0.68238,0.83207,0.59121,1.27517,0.01305,0.0003654,0.0003654,0.0003654
3,75.2775,0.68247,0.5467,1.19193,0.01242,0.88215,0.86732,0.91495,0.67971,0.81633,0.58349,1.23812,0.01159,0.000524842,0.000524842,0.000524842
4,98.6582,0.68469,0.55943,1.1973,0.01362,0.89575,0.85201,0.91469,0.68022,0.81976,0.59767,1.25494,0.01244,0.00050484,0.00050484,0.00050484
5,119.185,0.69202,0.54853,1.19687,0.01302,0.89168,0.86262,0.91972,0.68172,0.83368,0.60305,1.24924,0.01257,0.00047712,0.00047712,0.00047712
6,141.843,0.69416,0.55,1.197,0.01286,0.89077,0.85608,0.92172,0.68328,0.83171,0.59837,1.25715,0.01365,0.0004494,0.0004494,0.0004494
7,164.233,0.6672,0.54234,1.19482,0.01248,0.88217,0.87421,0.91584,0.68677,0.82107,0.58765,1.24582,0.01408,0.00042168,0.00042168,0.00042168
8,188.103,0.67466,0.5235,1.20468,0.01252,0.91177,0.86382,0.92421,0.68388,0.82406,0.58304,1.25457,0.01306,0.00039396,0.00039396,0.00039396
9,210.389,0.68252,0.53087,1.20957,0.01311,0.88416,0.85017,0.91358,0.67966,0.81917,0.5852,1.25355,0.01318,0.00036624,0.00036624,0.00036624
10,231.596,0.67154,0.5273,1.19831,0.01409,0.92086,0.83625,0.92188,0.68376,0.83146,0.59022,1.26622,0.01309,0.00033852,0.00033852,0.00033852
11,252.792,0.65205,0.51247,1.19988,0.01162,0.88915,0.86291,0.9191,0.68886,0.80909,0.57387,1.23462,0.01152,0.0003108,0.0003108,0.0003108
12,278.971,0.62997,0.48466,1.11998,0.01177,0.9109,0.83002,0.92282,0.68811,0.8289,0.59796,1.24688,0.01148,0.00028308,0.00028308,0.00028308
13,298.425,0.62425,0.48597,1.11611,0.01166,0.89998,0.856,0.91451,0.68631,0.81748,0.58483,1.23027,0.0114,0.00025536,0.00025536,0.00025536
14,320.278,0.61315,0.46382,1.10967,0.01204,0.89119,0.86529,0.92009,0.68882,0.80857,0.57175,1.22628,0.01233,0.00022764,0.00022764,0.00022764
15,340.395,0.59767,0.45344,1.10851,0.01067,0.90632,0.85436,0.92138,0.69328,0.80305,0.57358,1.24051,0.01181,0.00019992,0.00019992,0.00019992
16,359.959,0.59756,0.45251,1.09625,0.01154,0.9111,0.858,0.92492,0.69369,0.79628,0.5614,1.22319,0.01083,0.0001722,0.0001722,0.0001722
17,381.239,0.58814,0.44099,1.10115,0.00987,0.91669,0.84578,0.92218,0.68968,0.78988,0.56033,1.23006,0.01122,0.00014448,0.00014448,0.00014448
18,401.192,0.57676,0.43854,1.09559,0.01005,0.92625,0.84937,0.92553,0.69044,0.79968,0.55838,1.23787,0.01112,0.00011676,0.00011676,0.00011676
19,419.428,0.5825,0.43897,1.09304,0.01118,0.9189,0.85435,0.92592,0.69195,0.79761,0.55967,1.22958,0.01081,8.904e-05,8.904e-05,8.904e-05
20,438.384,0.58081,0.4337,1.09515,0.01118,0.91145,0.85261,0.92491,0.69285,0.80219,0.56322,1.23772,0.01071,6.132e-05,6.132e-05,6.132e-05
21,461.246,0.57848,0.43395,1.07952,0.01157,0.90292,0.8563,0.92357,0.69374,0.79841,0.55665,1.23544,0.01035,3.36e-05,3.36e-05,3.36e-05
