epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4809,1.58552,4.25623,2.64904,0.08717,0.06069,0.10016,0.07077,0.03591,1.23993,3.88965,2.38397,0.03534,0.000187478,0.000187478,0.000187478
2,45.6533,1.33647,2.9237,2.15279,0.0451,0.75772,0.19707,0.17219,0.11238,1.18702,2.7509,1.8768,0.034,0.000379682,0.000379682,0.000379682
3,66.5196,1.20576,2.08713,1.91891,0.03445,0.45111,0.32213,0.2657,0.18683,1.05535,2.07054,1.71199,0.03153,0.000568005,0.000568005,0.000568005
4,91.232,1.12985,1.77941,1.75103,0.03235,0.2059,0.41588,0.28486,0.19886,1.04276,1.78464,1.55552,0.02734,0.000570536,0.000570536,0.000570536
5,111.644,1.08212,1.61651,1.61675,0.02919,0.24185,0.52041,0.32413,0.22852,0.99911,1.63544,1.41472,0.02611,0.000564715,0.000564715,0.000564715
6,136.821,1.04295,1.53064,1.51144,0.02729,0.24945,0.55991,0.34631,0.25063,0.96152,1.5213,1.36085,0.02102,0.000558894,0.000558894,0.000558894
7,157.332,1.02455,1.4696,1.49279,0.02718,0.26803,0.48583,0.35885,0.26132,0.94764,1.44666,1.33362,0.01965,0.000553073,0.000553073,0.000553073
8,182.563,0.99098,1.36946,1.45333,0.02229,0.295,0.51994,0.38045,0.28146,0.90557,1.38784,1.30699,0.01928,0.000547252,0.000547252,0.000547252
9,203.279,0.98001,1.32565,1.44196,0.0231,0.33046,0.52576,0.40285,0.29613,0.92499,1.37474,1.29771,0.0183,0.00054143,0.00054143,0.00054143
10,226.555,0.95069,1.26935,1.39366,0.02463,0.40085,0.52179,0.43229,0.31775,0.91833,1.33099,1.29222,0.01807,0.000535609,0.000535609,0.000535609
11,247.586,0.92565,1.19456,1.41068,0.02022,0.42456,0.54316,0.48633,0.36014,0.90098,1.25266,1.27441,0.01813,0.000529788,0.000529788,0.000529788
12,271.949,0.94714,1.1739,1.38861,0.023,0.46591,0.563,0.51246,0.38262,0.89102,1.20379,1.28329,0.01845,0.000523967,0.000523967,0.000523967
13,295.291,0.92588,1.11001,1.37459,0.02152,0.49027,0.61926,0.55586,0.409,0.88219,1.13462,1.28108,0.01839,0.000518146,0.000518146,0.000518146
14,317.266,0.91387,1.07481,1.37756,0.01865,0.52475,0.59847,0.58009,0.42473,0.88994,1.11218,1.27935,0.01714,0.000512324,0.000512324,0.000512324
15,340.289,0.89953,1.03487,1.3655,0.01965,0.55262,0.69462,0.62044,0.45902,0.85655,1.02646,1.28438,0.01751,0.000506503,0.000506503,0.000506503
16,362.041,0.92171,1.00308,1.381,0.02066,0.59936,0.6619,0.64767,0.47449,0.8985,1.00342,1.27046,0.01704,0.000500682,0.000500682,0.000500682
17,386.306,0.89113,0.95892,1.37873,0.02,0.65919,0.64291,0.68632,0.5104,0.86068,0.95597,1.26149,0.01802,0.000494861,0.000494861,0.000494861
18,408.613,0.90404,0.9599,1.37042,0.02118,0.66858,0.68303,0.70626,0.52385,0.87205,0.93636,1.27905,0.01793,0.00048904,0.00048904,0.00048904
19,432.578,0.88697,0.90666,1.35985,0.01842,0.66965,0.6982,0.72673,0.53813,0.86373,0.90202,1.26434,0.01616,0.000483218,0.000483218,0.000483218
20,455.269,0.87351,0.87505,1.33623,0.01875,0.74704,0.68469,0.75866,0.54881,0.9203,0.89284,1.29095,0.01656,0.000477397,0.000477397,0.000477397
21,480.436,0.86505,0.86306,1.35796,0.01755,0.74129,0.71612,0.7698,0.56668,0.85303,0.85853,1.24631,0.01748,0.000471576,0.000471576,0.000471576
22,501.981,0.85334,0.83151,1.33512,0.0183,0.75646,0.71215,0.78498,0.57555,0.87661,0.83533,1.27713,0.01602,0.000465755,0.000465755,0.000465755
23,525.429,0.85219,0.84778,1.34838,0.01837,0.7733,0.70697,0.78417,0.57838,0.86135,0.83804,1.25695,0.01759,0.000459934,0.000459934,0.000459934
24,548.088,0.8522,0.81813,1.33133,0.01908,0.733,0.76199,0.81023,0.60348,0.83473,0.79688,1.25279,0.01556,0.000454112,0.000454112,0.000454112
25,572.825,0.83575,0.82052,1.33629,0.01917,0.75638,0.73929,0.80519,0.60461,0.84771,0.79041,1.26179,0.01553,0.000448291,0.000448291,0.000448291
26,595.873,0.83748,0.77965,1.31153,0.0173,0.75741,0.74628,0.8178,0.60573,0.85665,0.79083,1.25855,0.0148,0.00044247,0.00044247,0.00044247
27,619.556,0.83172,0.77335,1.32721,0.01834,0.78614,0.75855,0.8317,0.62467,0.82721,0.75072,1.26115,0.01595,0.000436649,0.000436649,0.000436649
28,641.747,0.83249,0.75293,1.31594,0.01938,0.81297,0.7259,0.82952,0.62409,0.82665,0.73759,1.25826,0.01595,0.000430828,0.000430828,0.000430828
29,663.387,0.83333,0.72879,1.31584,0.01609,0.85377,0.74291,0.8486,0.6342,0.82473,0.72931,1.2427,0.01562,0.000425006,0.000425006,0.000425006
30,687.265,0.79911,0.72302,1.28953,0.0148,0.78987,0.78585,0.84932,0.63202,0.84555,0.73928,1.25751,0.01587,0.000419185,0.000419185,0.000419185
31,708.727,0.82903,0.73494,1.31312,0.01539,0.8491,0.74779,0.84969,0.62932,0.84446,0.73561,1.26927,0.01501,0.000413364,0.000413364,0.000413364
32,732.399,0.81914,0.71518,1.30023,0.01892,0.85422,0.77088,0.8662,0.64163,0.84853,0.71063,1.24987,0.01622,0.000407543,0.000407543,0.000407543
33,754.57,0.80263,0.70763,1.28682,0.01624,0.83773,0.78144,0.87116,0.65097,0.83849,0.70394,1.24648,0.01504,0.000401722,0.000401722,0.000401722
34,778.379,0.80041,0.6965,1.28562,0.01664,0.81479,0.79149,0.86447,0.64716,0.8327,0.70385,1.25722,0.01567,0.0003959,0.0003959,0.0003959
35,799.856,0.82043,0.69133,1.29285,0.01708,0.81171,0.79156,0.87188,0.64376,0.84658,0.6967,1.26472,0.01604,0.000390079,0.000390079,0.000390079
36,821.694,0.81094,0.69806,1.29573,0.01684,0.84548,0.76818,0.86707,0.65043,0.83159,0.68955,1.25292,0.01439,0.000384258,0.000384258,0.000384258
37,844.346,0.78422,0.66507,1.29362,0.01567,0.81352,0.81546,0.87362,0.65984,0.81786,0.68091,1.25045,0.01542,0.000378437,0.000378437,0.000378437
38,867.346,0.79787,0.67462,1.28809,0.0173,0.86753,0.77219,0.88124,0.65989,0.82635,0.67869,1.25822,0.01506,0.000372616,0.000372616,0.000372616
39,892.733,0.79075,0.6749,1.28207,0.01573,0.86258,0.77037,0.87416,0.6561,0.82025,0.67163,1.25083,0.01467,0.000366794,0.000366794,0.000366794
40,913.506,0.78991,0.67201,1.27251,0.01566,0.85432,0.81346,0.8875,0.66562,0.82797,0.66268,1.24479,0.01396,0.000360973,0.000360973,0.000360973
41,937.991,0.77514,0.6562,1.27146,0.01548,0.88902,0.77379,0.8819,0.65917,0.83171,0.64954,1.25033,0.01484,0.000355152,0.000355152,0.000355152
42,960.01,0.7915,0.65186,1.27776,0.01613,0.84245,0.829,0.89709,0.67369,0.82701,0.65933,1.24152,0.01361,0.000349331,0.000349331,0.000349331
43,984.567,0.77862,0.6556,1.27981,0.01549,0.8523,0.7904,0.88322,0.66813,0.8189,0.64941,1.2463,0.01412,0.00034351,0.00034351,0.00034351
44,1006.94,0.76756,0.64806,1.26535,0.01481,0.85185,0.8257,0.88833,0.66132,0.8201,0.64266,1.24235,0.0135,0.000337688,0.000337688,0.000337688
45,1029.02,0.76145,0.63667,1.25818,0.01457,0.84854,0.81846,0.89379,0.66956,0.81722,0.63797,1.2359,0.01396,0.000331867,0.000331867,0.000331867
46,1051.53,0.75981,0.63624,1.27051,0.01394,0.8557,0.80626,0.88641,0.66529,0.81807,0.64527,1.24241,0.0137,0.000326046,0.000326046,0.000326046
47,1073.39,0.76288,0.63395,1.25719,0.01429,0.88245,0.81396,0.89947,0.67336,0.82298,0.63853,1.23543,0.01362,0.000320225,0.000320225,0.000320225
48,1097.37,0.7559,0.64144,1.26223,0.0166,0.86446,0.83966,0.90088,0.66943,0.81719,0.63193,1.2452,0.01453,0.000314404,0.000314404,0.000314404
49,1118.67,0.75447,0.62097,1.24804,0.01558,0.87984,0.83173,0.90368,0.67452,0.82776,0.63416,1.24077,0.01326,0.000308582,0.000308582,0.000308582
50,1142.93,0.76765,0.63675,1.27641,0.01561,0.88596,0.80599,0.90349,0.67925,0.81222,0.63149,1.24093,0.01453,0.000302761,0.000302761,0.000302761
51,1163.58,0.73685,0.61144,1.24639,0.01407,0.88999,0.82023,0.90693,0.68182,0.81151,0.61497,1.25109,0.01443,0.00029694,0.00029694,0.00029694
52,1188.09,0.75365,0.61302,1.26498,0.01514,0.88132,0.8321,0.90719,0.68087,0.81871,0.62455,1.25324,0.01417,0.000291119,0.000291119,0.000291119
53,28.6391,0.7539,0.61691,1.25089,0.01325,0.85714,0.83595,0.9049,0.66707,0.84457,0.62725,1.2716,0.01313,0.000285298,0.000285298,0.000285298
54,47.1625,0.7658,0.61299,1.24784,0.01634,0.87699,0.83638,0.89999,0.67881,0.80592,0.60941,1.23778,0.01337,0.000279476,0.000279476,0.000279476
55,68.2575,0.74049,0.60072,1.22978,0.01394,0.88282,0.83591,0.90119,0.67587,0.81433,0.61058,1.23272,0.01333,0.000273655,0.000273655,0.000273655
56,91.3282,0.73251,0.61235,1.22521,0.0144,0.86899,0.82138,0.90302,0.67745,0.80625,0.60932,1.24483,0.01328,0.000267834,0.000267834,0.000267834
57,111.136,0.73239,0.58945,1.22842,0.01406,0.91033,0.81865,0.91654,0.67923,0.81311,0.60506,1.24442,0.0133,0.000262013,0.000262013,0.000262013
58,134.414,0.73539,0.58997,1.23506,0.01388,0.86776,0.84809,0.91032,0.67811,0.81526,0.60489,1.24026,0.01405,0.000256192,0.000256192,0.000256192
59,153.726,0.71405,0.58963,1.23286,0.01391,0.87696,0.86214,0.91084,0.68056,0.81483,0.60567,1.23682,0.0144,0.00025037,0.00025037,0.00025037
60,175.949,0.72275,0.57572,1.23265,0.01328,0.88056,0.83703,0.90882,0.67663,0.80718,0.60125,1.2488,0.01348,0.000244549,0.000244549,0.000244549
61,198.531,0.72897,0.57879,1.24875,0.01448,0.89791,0.83886,0.91203,0.67978,0.81982,0.60525,1.262,0.01412,0.000238728,0.000238728,0.000238728
62,220.026,0.71765,0.57863,1.22848,0.01603,0.88641,0.85021,0.91361,0.67444,0.83388,0.60966,1.24912,0.01355,0.000232907,0.000232907,0.000232907
63,239.182,0.70341,0.5677,1.23446,0.01267,0.89875,0.81811,0.90729,0.67894,0.81553,0.59944,1.23635,0.01238,0.000227086,0.000227086,0.000227086
64,262.926,0.72251,0.58387,1.22408,0.01509,0.86891,0.85406,0.91373,0.68194,0.82163,0.60839,1.24451,0.01221,0.000221264,0.000221264,0.000221264
65,287.118,0.70912,0.57726,1.22508,0.01378,0.86811,0.85292,0.90525,0.67886,0.81705,0.60697,1.23483,0.0126,0.000215443,0.000215443,0.000215443
66,309.177,0.70183,0.56581,1.22241,0.01314,0.86928,0.85614,0.9082,0.68072,0.80852,0.59486,1.24313,0.01332,0.000209622,0.000209622,0.000209622
67,330.355,0.71064,0.56327,1.22333,0.01276,0.89345,0.82011,0.91077,0.67988,0.80909,0.59087,1.24256,0.0127,0.000203801,0.000203801,0.000203801
68,350.204,0.72983,0.57732,1.23028,0.01342,0.86874,0.8653,0.90618,0.6787,0.82537,0.59526,1.24186,0.01253,0.00019798,0.00019798,0.00019798
69,374.144,0.70003,0.55345,1.23607,0.01459,0.89985,0.84211,0.91895,0.6887,0.80947,0.58987,1.23677,0.01232,0.000192158,0.000192158,0.000192158
70,395.58,0.71394,0.56705,1.21928,0.01464,0.87352,0.85816,0.91722,0.68998,0.80087,0.59275,1.23256,0.01216,0.000186337,0.000186337,0.000186337
71,417.724,0.69517,0.55584,1.22029,0.01249,0.89147,0.84222,0.91506,0.68634,0.79945,0.58621,1.22906,0.01183,0.000180516,0.000180516,0.000180516
72,439.236,0.69894,0.54888,1.20214,0.01288,0.88572,0.87451,0.91961,0.68505,0.81443,0.58601,1.24376,0.01207,0.000174695,0.000174695,0.000174695
73,460.332,0.69656,0.55182,1.22123,0.0137,0.89207,0.85548,0.91776,0.68527,0.82016,0.59423,1.23497,0.01262,0.000168874,0.000168874,0.000168874
74,481.992,0.6967,0.55156,1.22096,0.01316,0.90596,0.84096,0.92138,0.69056,0.80498,0.58415,1.23643,0.01255,0.000163052,0.000163052,0.000163052
