epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7177,1.37892,3.31937,2.11869,0.07209,0.20091,0.54548,0.29759,0.20033,1.05931,1.94732,1.4121,0.02361,0.000218363,0.000218363,0.000218363
2,62.5397,1.00969,1.55729,1.25377,0.02873,0.52556,0.61203,0.62072,0.44394,0.93059,1.22759,1.18251,0.01495,0.000437788,0.000437788,0.000437788
3,92.9413,0.93404,1.09527,1.18994,0.02183,0.82061,0.79955,0.86967,0.63038,0.87736,0.85616,1.20789,0.01434,0.000654278,0.000654278,0.000654278
4,124.965,0.90002,0.83825,1.17843,0.01723,0.88674,0.86368,0.93023,0.6824,0.87368,0.67338,1.1923,0.01434,0.000653793,0.000653793,0.000653793
5,156.652,0.87133,0.7092,1.16884,0.01701,0.9348,0.84263,0.93264,0.67872,0.89943,0.63703,1.2129,0.01162,0.000649391,0.000649391,0.000649391
6,188.698,0.84757,0.64921,1.15897,0.01567,0.91962,0.88011,0.9399,0.68458,0.90757,0.55858,1.217,0.00978,0.000644989,0.000644989,0.000644989
7,221.278,0.82141,0.59618,1.13628,0.01441,0.93536,0.87505,0.94734,0.69054,0.84233,0.52337,1.19658,0.00959,0.000640587,0.000640587,0.000640587
8,253.596,0.7991,0.57274,1.1178,0.01472,0.8925,0.92622,0.95372,0.7027,0.86197,0.50249,1.20569,0.00885,0.000636185,0.000636185,0.000636185
9,284.146,0.78905,0.5543,1.1093,0.01428,0.92454,0.92279,0.95061,0.69806,0.84116,0.48632,1.20003,0.00889,0.000631782,0.000631782,0.000631782
10,314.813,0.76184,0.52784,1.09473,0.01346,0.91344,0.91441,0.95038,0.69734,0.87839,0.48833,1.23053,0.00953,0.00062738,0.00062738,0.00062738
11,345.339,0.7383,0.50976,1.08131,0.01307,0.93321,0.9182,0.94999,0.68959,0.88568,0.47653,1.23033,0.00809,0.000622978,0.000622978,0.000622978
12,376.817,0.73645,0.49805,1.06716,0.01391,0.91516,0.92548,0.9516,0.69076,0.88474,0.47537,1.24158,0.00901,0.000618576,0.000618576,0.000618576
13,407.985,0.71585,0.48975,1.05658,0.01333,0.92755,0.92798,0.9507,0.67893,0.89126,0.46543,1.25586,0.00857,0.000614174,0.000614174,0.000614174
14,437.622,0.70316,0.47684,1.04592,0.013,0.9373,0.93748,0.966,0.69906,0.8542,0.44503,1.23726,0.00787,0.000609771,0.000609771,0.000609771
15,467.157,0.6924,0.46038,1.0467,0.01286,0.93771,0.93361,0.95948,0.70323,0.86209,0.45646,1.22824,0.01148,0.000605369,0.000605369,0.000605369
16,498.17,0.68013,0.45314,1.0373,0.01214,0.93278,0.93713,0.95783,0.69675,0.84586,0.44875,1.22618,0.00821,0.000600967,0.000600967,0.000600967
17,528.78,0.66452,0.44713,1.03048,0.01189,0.94348,0.93214,0.96301,0.69174,0.90223,0.4585,1.27903,0.00762,0.000596565,0.000596565,0.000596565
18,558.442,0.6505,0.43428,1.01762,0.01186,0.93876,0.94078,0.96291,0.70176,0.87374,0.43421,1.25036,0.00841,0.000592163,0.000592163,0.000592163
19,588.807,0.64295,0.43514,1.00883,0.01217,0.93997,0.93282,0.95864,0.68543,0.89297,0.45062,1.26614,0.01169,0.00058776,0.00058776,0.00058776
20,618.702,0.62673,0.41367,1.00557,0.0117,0.92851,0.94401,0.9588,0.69648,0.86424,0.44202,1.25425,0.00783,0.000583358,0.000583358,0.000583358
21,648.811,0.62155,0.41652,1.00035,0.01122,0.95152,0.91945,0.9535,0.68777,0.88096,0.43328,1.27205,0.00833,0.000578956,0.000578956,0.000578956
22,679.629,0.61805,0.40875,1.00093,0.01166,0.9546,0.91277,0.95478,0.68157,0.89759,0.43935,1.28623,0.00811,0.000574554,0.000574554,0.000574554
23,710.485,0.61294,0.40525,0.9954,0.01105,0.93292,0.92402,0.95385,0.68099,0.89644,0.43409,1.29016,0.00991,0.000570152,0.000570152,0.000570152
24,740.907,0.59007,0.39185,0.98283,0.0109,0.95254,0.91041,0.95409,0.69477,0.87264,0.41772,1.27449,0.01,0.000565749,0.000565749,0.000565749
25,770.854,0.60841,0.39458,0.99613,0.01108,0.92583,0.93729,0.9501,0.68719,0.87438,0.42071,1.27514,0.00832,0.000561347,0.000561347,0.000561347
26,798.074,0.57284,0.37993,0.97481,0.00998,0.93929,0.93325,0.95258,0.69087,0.8701,0.4177,1.27789,0.00899,0.000556945,0.000556945,0.000556945
27,826.315,0.57159,0.38264,0.9729,0.00984,0.94337,0.94427,0.95985,0.68934,0.89802,0.41951,1.30348,0.007,0.000552543,0.000552543,0.000552543
28,855.727,0.56378,0.37387,0.96703,0.01033,0.95537,0.92804,0.95787,0.68911,0.88607,0.42064,1.29986,0.00791,0.000548141,0.000548141,0.000548141
29,886.149,0.55744,0.37334,0.96521,0.01044,0.9241,0.94393,0.9559,0.69007,0.89201,0.42991,1.30042,0.00792,0.000543738,0.000543738,0.000543738
30,937.486,0.55005,0.36457,0.96125,0.00973,0.95235,0.92221,0.95869,0.68926,0.87381,0.4215,1.2964,0.00974,0.000539336,0.000539336,0.000539336
31,967.529,0.53763,0.35931,0.95616,0.00984,0.94322,0.92331,0.95882,0.69613,0.88446,0.42299,1.3082,0.00729,0.000534934,0.000534934,0.000534934
32,998.772,0.5206,0.35384,0.94382,0.00975,0.94223,0.94294,0.95446,0.6883,0.89569,0.4345,1.31987,0.00807,0.000530532,0.000530532,0.000530532
33,1029.9,0.51794,0.34487,0.93991,0.00852,0.94469,0.94644,0.96416,0.69327,0.89634,0.41191,1.31524,0.00742,0.00052613,0.00052613,0.00052613
34,1061.28,0.51312,0.34724,0.93988,0.00935,0.95075,0.93482,0.96602,0.69515,0.86977,0.40431,1.30398,0.0079,0.000521727,0.000521727,0.000521727
